"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 26 02:23:50 UTC 2024","Mon Feb 26 02:24:15 UTC 2024","25218","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Feb 26 03:11:03 UTC 2024","Mon Feb 26 03:11:05 UTC 2024","1801","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Feb 26 02:31:35 UTC 2024","Mon Feb 26 02:31:41 UTC 2024","6632","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Mon Feb 26 02:49:01 UTC 2024","Mon Feb 26 02:49:01 UTC 2024","366","","6. Company Account","","","","9. Review Final Review",""
"passed","Mon Feb 26 03:53:12 UTC 2024","Mon Feb 26 03:53:13 UTC 2024","1657","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Mon Feb 26 03:16:47 UTC 2024","Mon Feb 26 03:16:50 UTC 2024","2999","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Mon Feb 26 03:29:34 UTC 2024","Mon Feb 26 03:29:40 UTC 2024","6104","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Mon Feb 26 03:04:44 UTC 2024","Mon Feb 26 03:04:49 UTC 2024","4953","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Feb 26 03:29:40 UTC 2024","Mon Feb 26 03:29:50 UTC 2024","10179","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Mon Feb 26 04:12:47 UTC 2024","Mon Feb 26 04:12:49 UTC 2024","1394","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Mon Feb 26 03:27:36 UTC 2024","Mon Feb 26 03:27:45 UTC 2024","9540","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Feb 26 02:45:39 UTC 2024","Mon Feb 26 02:45:42 UTC 2024","2877","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Feb 26 03:27:45 UTC 2024","Mon Feb 26 03:27:47 UTC 2024","2370","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Mon Feb 26 02:37:16 UTC 2024","Mon Feb 26 02:37:20 UTC 2024","3397","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Feb 26 02:31:28 UTC 2024","Mon Feb 26 02:31:35 UTC 2024","6627","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Feb 26 03:16:50 UTC 2024","Mon Feb 26 03:16:52 UTC 2024","2606","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Mon Feb 26 02:27:02 UTC 2024","Mon Feb 26 02:27:19 UTC 2024","16841","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Feb 26 03:50:35 UTC 2024","Mon Feb 26 03:50:44 UTC 2024","9193","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Mon Feb 26 03:00:11 UTC 2024","Mon Feb 26 03:00:22 UTC 2024","11344","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Feb 26 03:11:05 UTC 2024","Mon Feb 26 03:12:10 UTC 2024","65037","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Feb 26 03:00:07 UTC 2024","Mon Feb 26 03:00:10 UTC 2024","2259","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
